Id,Bound
0,1
1,1
2,1
3,1
4,0
5,0
6,1
7,0
8,1
9,0
10,1
11,0
12,0
13,1
14,0
15,0
16,0
17,1
18,0
19,0
20,0
21,1
22,0
23,1
24,1
25,1
26,0
27,0
28,0
29,0
30,1
31,0
32,1
33,0
34,1
35,1
36,1
37,0
38,0
39,0
40,0
41,1
42,0
43,1
44,0
45,0
46,1
47,0
48,1
49,0
50,0
51,0
52,0
53,1
54,0
55,1
56,0
57,1
58,1
59,0
60,1
61,1
62,1
63,1
64,0
65,0
66,1
67,0
68,1
69,1
70,1
71,0
72,1
73,1
74,1
75,0
76,0
77,1
78,0
79,1
80,0
81,0
82,1
83,1
84,1
85,1
86,0
87,0
88,0
89,1
90,0
91,1
92,0
93,0
94,0
95,1
96,1
97,0
98,0
99,0
100,1
101,1
102,0
103,1
104,0
105,0
106,0
107,0
108,0
109,1
110,0
111,1
112,1
113,0
114,1
115,0
116,1
117,1
118,0
119,1
120,1
121,1
122,1
123,1
124,0
125,0
126,1
127,1
128,1
129,1
130,0
131,1
132,0
133,1
134,0
135,0
136,1
137,1
138,1
139,0
140,1
141,0
142,0
143,0
144,1
145,1
146,0
147,0
148,0
149,1
150,0
151,0
152,1
153,0
154,0
155,1
156,1
157,0
158,0
159,1
160,0
161,0
162,0
163,1
164,1
165,0
166,1
167,0
168,1
169,0
170,1
171,0
172,1
173,1
174,1
175,1
176,0
177,0
178,1
179,1
180,1
181,0
182,1
183,0
184,0
185,1
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,1
194,0
195,0
196,1
197,0
198,0
199,0
200,1
201,0
202,0
203,1
204,0
205,1
206,1
207,1
208,0
209,1
210,0
211,0
212,1
213,1
214,1
215,1
216,0
217,0
218,1
219,0
220,1
221,1
222,1
223,0
224,0
225,1
226,0
227,0
228,1
229,1
230,0
231,0
232,1
233,1
234,1
235,1
236,1
237,0
238,0
239,0
240,1
241,1
242,1
243,1
244,0
245,0
246,0
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,0
255,1
256,1
257,0
258,1
259,0
260,0
261,1
262,0
263,1
264,1
265,0
266,0
267,1
268,1
269,0
270,0
271,1
272,0
273,0
274,0
275,1
276,1
277,0
278,1
279,1
280,1
281,0
282,1
283,1
284,0
285,1
286,0
287,1
288,1
289,1
290,1
291,0
292,0
293,0
294,1
295,1
296,0
297,0
298,1
299,0
300,1
301,1
302,0
303,1
304,1
305,1
306,1
307,1
308,0
309,1
310,1
311,0
312,1
313,0
314,0
315,0
316,1
317,1
318,1
319,0
320,1
321,1
322,0
323,0
324,1
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,1
333,1
334,0
335,0
336,1
337,1
338,0
339,1
340,1
341,0
342,0
343,1
344,0
345,1
346,0
347,0
348,0
349,1
350,0
351,0
352,1
353,1
354,1
355,1
356,1
357,0
358,1
359,0
360,0
361,1
362,1
363,1
364,0
365,1
366,0
367,1
368,1
369,0
370,1
371,1
372,1
373,1
374,1
375,0
376,1
377,1
378,0
379,1
380,1
381,0
382,0
383,0
384,0
385,1
386,0
387,0
388,0
389,0
390,1
391,0
392,0
393,1
394,0
395,0
396,0
397,1
398,1
399,1
400,0
401,1
402,0
403,1
404,0
405,1
406,0
407,0
408,1
409,0
410,1
411,1
412,0
413,1
414,1
415,0
416,0
417,0
418,0
419,0
420,1
421,1
422,0
423,1
424,1
425,0
426,1
427,1
428,0
429,1
430,0
431,0
432,0
433,1
434,0
435,1
436,1
437,0
438,1
439,0
440,1
441,0
442,1
443,1
444,1
445,0
446,1
447,1
448,0
449,1
450,0
451,1
452,0
453,0
454,1
455,1
456,1
457,0
458,0
459,0
460,1
461,1
462,1
463,0
464,1
465,1
466,1
467,0
468,0
469,0
470,1
471,0
472,0
473,0
474,1
475,1
476,1
477,1
478,1
479,1
480,0
481,1
482,1
483,1
484,1
485,0
486,0
487,1
488,0
489,1
490,0
491,1
492,1
493,1
494,1
495,1
496,1
497,0
498,0
499,1
500,1
501,0
502,0
503,0
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,0
514,1
515,1
516,0
517,0
518,1
519,1
520,1
521,0
522,0
523,0
524,1
525,1
526,1
527,1
528,0
529,0
530,0
531,0
532,0
533,0
534,1
535,1
536,0
537,0
538,1
539,1
540,1
541,1
542,1
543,1
544,0
545,1
546,1
547,1
548,1
549,0
550,0
551,0
552,1
553,1
554,1
555,0
556,0
557,0
558,0
559,1
560,0
561,1
562,0
563,0
564,0
565,1
566,1
567,1
568,0
569,0
570,1
571,1
572,1
573,0
574,1
575,0
576,0
577,0
578,0
579,1
580,1
581,0
582,0
583,1
584,1
585,1
586,1
587,0
588,1
589,0
590,0
591,0
592,1
593,0
594,1
595,0
596,0
597,0
598,1
599,0
600,1
601,0
602,0
603,0
604,1
605,0
606,1
607,1
608,1
609,1
610,0
611,1
612,0
613,0
614,1
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,1
623,1
624,1
625,1
626,1
627,1
628,1
629,0
630,0
631,1
632,1
633,0
634,1
635,1
636,1
637,1
638,0
639,1
640,0
641,1
642,0
643,0
644,1
645,1
646,1
647,0
648,1
649,1
650,1
651,1
652,1
653,0
654,1
655,1
656,1
657,1
658,1
659,0
660,1
661,1
662,1
663,0
664,0
665,0
666,1
667,1
668,1
669,1
670,1
671,0
672,0
673,1
674,0
675,1
676,1
677,0
678,1
679,0
680,1
681,0
682,1
683,0
684,1
685,0
686,1
687,0
688,0
689,0
690,0
691,1
692,1
693,1
694,0
695,1
696,0
697,0
698,0
699,0
700,1
701,1
702,1
703,1
704,1
705,0
706,0
707,0
708,1
709,0
710,0
711,0
712,1
713,0
714,1
715,1
716,1
717,1
718,1
719,0
720,0
721,1
722,0
723,0
724,1
725,1
726,1
727,1
728,1
729,0
730,1
731,0
732,0
733,1
734,0
735,1
736,0
737,1
738,0
739,1
740,1
741,0
742,0
743,0
744,1
745,1
746,1
747,1
748,1
749,0
750,1
751,0
752,0
753,0
754,1
755,0
756,1
757,1
758,1
759,0
760,0
761,0
762,1
763,1
764,0
765,1
766,0
767,1
768,1
769,0
770,1
771,1
772,1
773,0
774,1
775,0
776,0
777,1
778,1
779,0
780,0
781,1
782,0
783,1
784,1
785,0
786,1
787,0
788,1
789,1
790,1
791,1
792,1
793,0
794,1
795,0
796,0
797,0
798,1
799,1
800,0
801,0
802,0
803,1
804,0
805,0
806,0
807,0
808,1
809,1
810,0
811,1
